MONTH	P_TC	P_PFPR	P_TACT_code	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TFR_99	TFR_95	TFR_75	TFR_50	TFR_25	TFR_05	TFR_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01
29	0.25	0.1	baseline	0	0.38298433	0.2743043	0.1443375	0.0772899	0.02362475	0.006604339	0.001348776	0.26707725	0.222222	0.13409075	0.09600615	0.0612245	0	0	0.00089053	0.00067775	0.00049625	0.0003815	0.00026775	0.000164425	0.000134165
30	0.25	0.1	baseline	0	0.32957009	0.28016755	0.137646	0.07568785	0.02321915	0.006741851	0.002371258	0.23281307	0.210526	0.1291815	0.09934305	0.066393475	0	0	0.000886635	0.000677125	0.00049025	0.00037775	0.00026425	0.00016135	0.000119835
31	0.25	0.1	baseline	0	0.33125432	0.3059774	0.137165	0.07725465	0.0252585	0.006633391	0	0.26828604	0.2012245	0.125	0.09175085	0.064012075	0	0	0.0008915	0.00069515	0.0004895	0.000369	0.00026	0.000161425	0.00010739
32	0.25	0.1	baseline	0	0.32582841	0.2870272	0.135745	0.0764553	0.025918175	0.005513607	0	0.2401	0.20844265	0.142857	0.1049155	0.0625	0	0	0.000899355	0.00070355	0.0005015	0.0003555	0.000262	0.000153975	0.000112355
33	0.25	0.1	baseline	0	0.3602916	0.2958653	0.14397025	0.07754985	0.026128275	0.007270466	0.001628293	0.27028869	0.19421545	0.1381705	0.0940448	0.066304375	0	0	0.000914395	0.00070025	0.00049025	0.00035225	0.000255875	0.00015945	0.000105915
34	0.25	0.1	baseline	0	0.39311042	0.2889672	0.1525215	0.07504935	0.0264178	0.008036482	0.001680812	0.25013158	0.2016279	0.142857	0.1043555	0.050961575	0	0	0.00089542	0.000689475	0.000494625	0.00034725	0.00025475	0.000163225	0.00010683
35	0.25	0.1	baseline	0	0.39029171	0.2920075	0.14875875	0.07963755	0.029066075	0.007098217	0.001559052	0.2515	0.2061142	0.13409075	0.0851449	0.062026525	0	0	0.000879625	0.00068675	0.000489375	0.00034175	0.0002525	0.000159725	0.00010236
36	0.25	0.1	baseline	0	0.40251834	0.2866929	0.15940525	0.08136115	0.027135075	0.006514553	0.001542054	0.33499967	0.1929867	0.138332	0.0769231	0.0519737	0	0	0.00087053	0.000699875	0.00047925	0.0003365	0.000247375	0.000154525	0.0000949
37	0.25	0.1	baseline	0	0.40760577	0.317844	0.15608125	0.0783068	0.026736675	0.00691588	0.003825055	0.2505	0.21511015	0.13699525	0.0941307	0.05	0	0	0.00087973	0.00069035	0.000471625	0.00032775	0.000240125	0.000147725	0.000091455
38	0.25	0.1	baseline	0	0.40331834	0.32231815	0.15248925	0.08032185	0.0268799	0.005693407	0.004402809	0.30463785	0.2228756	0.1381705	0.07752405	0.04940475	0	0	0.00087389	0.000685725	0.000466875	0.0003275	0.00023725	0.000139925	0.000091955
39	0.25	0.1	baseline	0	0.38427276	0.31874605	0.1657465	0.081319	0.0290308	0.006119888	0.00308716	0.33416634	0.2506579	0.1509615	0.1055195	0.061580875	0	0	0.000883025	0.000662175	0.000458	0.00032225	0.000236875	0.000137475	0.00009342
40	0.25	0.1	baseline	0	0.37666575	0.3142358	0.15948575	0.08149445	0.029572725	0.005100103	0.002834922	0.19057124	0.16680825	0.116376	0.0754986	0.04940475	0	0	0.00086929	0.00064775	0.000457375	0.000315	0.00024225	0.000146725	0.000088425
41	0.25	0.1	baseline	0	0.37053429	0.29594345	0.1477415	0.0825899	0.030226	0.006719533	0.002605264	0.28619019	0.20863065	0.134722	0.1010205	0.061160725	0	0	0.000840735	0.000637	0.00044475	0.00030925	0.000248	0.000149175	0.00008495
42	0.25	0.1	baseline	0	0.38329591	0.3145655	0.14894375	0.0857744	0.02954585	0.005753549	0.002647062	0.29175033	0.22253945	0.136364	0.0895722	0.05763115	0	0	0.000828935	0.0006376	0.000448875	0.000309	0.00023525	0.0001586	0.000083415
43	0.25	0.1	baseline	0	0.4086404	0.2956665	0.14990875	0.0827654	0.0294307	0.007806412	0	0.27840448	0.19136885	0.125	0.0909091	0.050635625	0	0	0.000788495	0.0006225	0.000450875	0.00031425	0.000225	0.0001539	0.000079915
