MONTH	P_TC	P_PFPR	P_TACT_code	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TFR_99	TFR_95	TFR_75	TFR_50	TFR_25	TFR_05	TFR_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01
29	0.25	0.1	baseline	0	0.39587403	0.2594618	0.15537825	0.0708605	0.032161075	0.007700822	0.002051609	0.21325658	0.2046626	0.1506355	0.116473	0.0887034	0.05047904	0.035357157	0.00124994	0.001125	0.00084925	0.00066525	0.00049975	0.000290475	0.000144235
30	0.25	0.1	baseline	0	0.3935585	0.2566235	0.151077	0.0743387	0.029157675	0.006387141	0.002070911	0.26739656	0.2193302	0.145455	0.113519	0.09040405	0.04069856	0	0.001252885	0.001110075	0.000848625	0.0006535	0.000480125	0.000272925	0.00013663
31	0.25	0.1	baseline	0	0.40084194	0.26745295	0.1518245	0.07480015	0.029890925	0.005831607	0.002708383	0.25083333	0.1908007	0.1505435	0.1222	0.082991775	0.033181785	0	0.001216635	0.001099175	0.000840625	0.00065875	0.000471	0.00025795	0.000130705
32	0.25	0.1	baseline	0	0.38284106	0.2907391	0.15202675	0.0770853	0.030037125	0.006841321	0.004063982	0.25125	0.227273	0.15209775	0.118462	0.0943396	0.05250002	0.03027024	0.00118461	0.001098475	0.0008365	0.00066325	0.000465125	0.0002705	0.00011991
33	0.25	0.1	baseline	0	0.3845083	0.28857285	0.15752125	0.07451025	0.028217375	0.007346044	0.004151592	0.22878529	0.2002564	0.149202	0.1197015	0.09249475	0.0495	0	0.00120264	0.0010836	0.00082575	0.00064975	0.00048175	0.000266	0.000119465
34	0.25	0.1	baseline	0	0.38967635	0.2926862	0.15268975	0.07612545	0.030013875	0.007145714	0.002839282	0.25083333	0.2002564	0.15166875	0.124144	0.093271675	0.03832414	0.026052642	0.001203305	0.0010835	0.000819625	0.00064075	0.000468	0.000264475	0.00012347
35	0.25	0.1	baseline	0	0.36278049	0.31423615	0.14992675	0.07713915	0.02939545	0.007119238	0.004757116	0.2792793	0.2045162	0.156234	0.122741	0.080810825	0.02738891	0	0.001181315	0.00108275	0.000813125	0.00063075	0.000466875	0.0002659	0.000124995
36	0.25	0.1	baseline	0	0.36546735	0.29989385	0.15913125	0.0715047	0.03044525	0.006062681	0.00324434	0.24091424	0.1958694	0.14760775	0.1068485	0.073937925	0.029713775	0	0.00116656	0.00106435	0.000801875	0.00061675	0.000458	0.000264225	0.0001274
37	0.25	0.1	baseline	0	0.36310583	0.29104455	0.1578655	0.07324	0.031321075	0.00778305	0.004959354	0.27310318	0.21881135	0.159565	0.1225	0.0833333	0.047510775	0	0.001138715	0.001051425	0.000798875	0.0006255	0.000456375	0.000264175	0.00012147
38	0.25	0.1	baseline	0	0.35941962	0.2966616	0.1570295	0.0746619	0.028742375	0.008071716	0.00424429	0.28000022	0.21040005	0.14450925	0.111111	0.0833333	0.02552174	0	0.00114381	0.0010498	0.000799375	0.000629	0.0004585	0.00026155	0.000116955
39	0.25	0.1	baseline	0	0.35626559	0.30231615	0.15803425	0.07976915	0.029434475	0.007691459	0.0046907	0.24306001	0.1958694	0.153846	0.117157	0.0909091	0.03892158	0	0.00111922	0.00106275	0.00080575	0.000639	0.0004475	0.0002527	0.000108475
40	0.25	0.1	baseline	0	0.37361894	0.3014606	0.15870575	0.0737768	0.0318377	0.010541134	0.003232616	0.25039474	0.19660755	0.153846	0.1183475	0.08511905	0.04	0	0.00111359	0.00105455	0.000797375	0.00063075	0.000450125	0.00027015	0.00011737
41	0.25	0.1	baseline	0	0.37833306	0.3036858	0.15287475	0.07324115	0.030410675	0.010983505	0.00377546	0.22233311	0.18886045	0.142857	0.107143	0.0769231	0.03554542	0	0.001138025	0.0010238	0.000789625	0.00063275	0.000438875	0.00026625	0.000121395
42	0.25	0.1	baseline	0	0.36497564	0.3051237	0.1579835	0.06633225	0.0335883	0.00978881	0.0031508	0.24638416	0.2002041	0.1465205	0.1070375	0.079750225	0.0367003	0	0.00112268	0.001005625	0.000772625	0.00063225	0.000444875	0.000264075	0.00011396
43	0.25	0.1	baseline	0	0.34181735	0.30071315	0.16605725	0.0709482	0.0328057	0.010317967	0.002665697	0.27607635	0.1906296	0.14823975	0.101724	0.07973685	0.046020025	0	0.001127235	0.001021525	0.000761875	0.00062825	0.000447	0.000276075	0.00011344
44	0.25	0.1	baseline	0	0.34512064	0.29705055	0.159036	0.06550085	0.03336995	0.009237534	0.003185903	0.27285687	0.22277755	0.15616875	0.1131715	0.0867691	0.04338772	0.020624967	0.00109304	0.000984125	0.000764125	0.00061975	0.000434875	0.0002584	0.000106435
45	0.25	0.1	baseline	0	0.35939583	0.29568935	0.154095	0.0670529	0.0310258	0.007122005	0.003283934	0.22980112	0.21262605	0.14464275	0.110243	0.0887255	0.0357143	0.022919905	0.00107137	0.000985925	0.000755375	0.000616	0.00042325	0.000244275	0.00010682
46	0.25	0.1	baseline	0	0.36944764	0.2862314	0.156968	0.06796935	0.031672375	0.008454077	0.003901965	0.26098857	0.1976687	0.1461395	0.116473	0.089368275	0.04227739	0	0.00108837	0.00098465	0.000767125	0.00059925	0.00042	0.000231	0.000104345
47	0.25	0.1	baseline	0	0.36482403	0.29388505	0.155935	0.0637596	0.0313944	0.010255541	0.003381147	0.25015306	0.20060605	0.155556	0.1317235	0.09346065	0.03657404	0	0.001088115	0.0009788	0.000754	0.0005835	0.0004115	0.000212225	0.00011225
48	0.25	0.1	baseline	0	0.36393404	0.2921244	0.159255	0.0667412	0.031327875	0.011127818	0.003556031	0.25578168	0.22625	0.1381705	0.0992958	0.07520055	0.036212085	0	0.001070415	0.000969525	0.000753	0.00057275	0.00040575	0.000214175	0.000114235
49	0.25	0.1	baseline	0	0.36368549	0.2992787	0.163094	0.0655735	0.029394175	0.011123105	0.003832753	0.26475125	0.195122	0.139378	0.112942	0.0804839	0.02878785	0	0.00106424	0.0009774	0.00074275	0.000567	0.00038825	0.000216425	0.000112825
50	0.25	0.1	baseline	0	0.37497964	0.308634	0.16280975	0.0650316	0.031757275	0.008959141	0.0041927	0.23096131	0.19046635	0.1491545	0.121052	0.09438345	0.022619025	0	0.001065895	0.0009637	0.000736	0.0005615	0.000397125	0.000226425	0.000101935
51	0.25	0.1	baseline	0	0.3898949	0.29625955	0.16025725	0.0663483	0.0320016	0.009066003	0.003739299	0.23287393	0.2	0.1435065	0.1065125	0.070238125	0	0	0.00105576	0.000952975	0.000728875	0.000565	0.000404	0.000226	0.000112315
52	0.25	0.1	baseline	0	0.3862869	0.2932169	0.1584095	0.0672458	0.03362485	0.007492411	0.004550163	0.22230747	0.18500045	0.134831	0.101282	0.073412725	0.01938779	0	0.00104657	0.00096465	0.000724625	0.00056925	0.000397	0.000230375	0.00011523
53	0.25	0.1	baseline	0	0.36954148	0.3015635	0.15406325	0.06729195	0.034462975	0.006823857	0.003735318	0.20732803	0.18534605	0.13675575	0.1061375	0.0700734	0.020791635	0	0.00104033	0.000953075	0.00069625	0.00055675	0.0003915	0.000226125	0.000124685
54	0.25	0.1	baseline	0	0.35281856	0.32101895	0.15793175	0.06768705	0.035999025	0.006814881	0.001860903	0.2428569	0.2	0.125665	0.0930233	0.06921745	0.02567565	0	0.001068005	0.000924425	0.000694625	0.00054075	0.000373375	0.000230525	0.0001113
55	0.25	0.1	baseline	0	0.34513721	0.32316755	0.17686575	0.06837025	0.031391875	0.006990193	0.001648627	0.21074217	0.1842597	0.1409775	0.108586	0.078441325	0.03422925	0	0.00105456	0.000926125	0.000691375	0.0005365	0.0003615	0.0002187	0.000130665
56	0.25	0.1	baseline	0	0.3432843	0.33592505	0.169178	0.07094935	0.031749025	0.007785034	0.001655271	0.29451015	0.188125	0.13708325	0.1	0.072735175	0	0	0.001054055	0.00090885	0.00069525	0.000537	0.0003635	0.000210075	0.00013257
57	0.25	0.1	baseline	0	0.35494355	0.3193768	0.1674885	0.0732707	0.0293083	0.007375009	0.001039403	0.2715673	0.18530075	0.142857	0.1043555	0.0769231	0.03285711	0	0.001052125	0.000885775	0.000686375	0.00053575	0.0003625	0.0002014	0.00013643
58	0.25	0.1	baseline	0	0.36382893	0.30507095	0.16456	0.0737771	0.03476945	0.006700515	0.001658852	0.29033644	0.2045922	0.1541775	0.09639955	0.06785315	0	0	0.001010505	0.00087655	0.000686	0.00053825	0.000358	0.00019485	0.000126945
59	0.25	0.1	baseline	0	0.36801711	0.29616915	0.16812375	0.0762463	0.033271425	0.006963441	0.002466438	0.30117682	0.20503205	0.13507375	0.0978001	0.073439725	0.034425325	0	0.000993195	0.0008832	0.000675625	0.00052175	0.000349625	0.00019575	0.000123945
60	0.25	0.1	baseline	0	0.37305423	0.2995243	0.1672155	0.0800107	0.03255755	0.011476797	0.004426833	0.26376966	0.2	0.15017125	0.103006	0.06612905	0.02435895	0	0.000994285	0.0008872	0.00065775	0.00051475	0.00034025	0.000193875	0.00012594
61	0.25	0.1	baseline	0	0.36938133	0.3112358	0.17079675	0.07908855	0.034025775	0.01107303	0.003199745	0.24045714	0.21222925	0.137931	0.106203	0.070812825	0	0	0.00100107	0.000854475	0.000647	0.00052075	0.000330625	0.000189475	0.00012703
62	0.25	0.1	baseline	0	0.35325265	0.31629765	0.1906205	0.0887382	0.033633975	0.010235528	0.003786725	0.25842553	0.219512	0.138536	0.0849261	0.0588235	0	0	0.000994795	0.000863275	0.00066125	0.0005045	0.000325875	0.0001843	0.00011963
63	0.25	0.1	baseline	0	0.3757274	0.326616	0.17811025	0.0867329	0.02968265	0.008899301	0.005670208	0.26685747	0.18191075	0.11977375	0.0873379	0.070812825	0	0	0.00099872	0.000860675	0.000667375	0.000495	0.000328	0.000186175	0.00011169
