MONTH	P_TC	P_PFPR	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TF_99	TF_95	TF_75	TF_50	TF_25	TF_05	TF_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01	ELIMINATION
-12	0.25	0.1	0	0.0557	0.0117	0.0001	0.0000	0.0000	0.0000	0.0000	27.7019	24.6495	21.7964	19.7970	17.4252	13.8919	13.2901	0.1621	0.1559	0.1330	0.1116	0.1013	0.0776	0.0641	0
-12	0.25	0.1	1	0.0215	0.0027	0.0002	0.0000	0.0000	0.0000	0.0000	29.3555	25.0321	21.2304	19.3406	17.1067	14.2278	12.8098	0.1622	0.1529	0.1286	0.1151	0.0971	0.0790	0.0718	3
-12	0.25	0.1	2	0.0321	0.0039	0.0002	0.0000	0.0000	0.0000	0.0000	25.4564	23.1298	20.4251	18.7040	16.7982	14.2030	12.5459	0.1772	0.1600	0.1316	0.1162	0.1028	0.0812	0.0701	3
-12	0.25	1	0	0.0114	0.0089	0.0015	0.0004	0.0001	0.0000	0.0000	22.0097	21.7149	20.2250	19.3821	18.7192	17.7369	16.8021	1.2331	1.1962	1.1659	1.1438	1.1235	1.0999	1.0710	0
-12	0.25	1	1	0.0079	0.0059	0.0017	0.0004	0.0001	0.0000	0.0000	22.2694	21.6845	20.1028	19.1845	18.5010	17.5584	17.3062	1.2136	1.1974	1.1732	1.1487	1.1294	1.1034	1.0906	0
-12	0.25	1	2	0.0112	0.0083	0.0017	0.0006	0.0002	0.0000	0.0000	21.5326	20.8787	19.9782	19.5318	18.8730	18.0335	16.9413	1.2133	1.2033	1.1743	1.1491	1.1279	1.1027	1.0816	0
-12	0.25	10	0	0.0074	0.0044	0.0024	0.0015	0.0010	0.0003	0.0002	19.8675	19.7549	19.4341	19.1085	18.8852	18.5611	18.4347	10.5661	10.5384	10.5014	10.4630	10.4250	10.3779	10.3582	0
-12	0.25	10	1	0.0060	0.0050	0.0029	0.0019	0.0012	0.0005	0.0003	19.9577	19.7986	19.3998	19.0441	18.7617	18.4420	18.3233	10.6111	10.5642	10.4941	10.4516	10.4185	10.3892	10.3591	0
-12	0.25	10	2	0.0060	0.0043	0.0024	0.0016	0.0010	0.0005	0.0003	19.9303	19.7574	19.4080	19.0533	18.8730	18.5594	18.3016	10.5720	10.5440	10.5052	10.4537	10.4218	10.3899	10.3688	0
-12	0.5	0.1	0	0.1591	0.0703	0.0043	0.0006	0.0001	0.0000	0.0000	28.2666	26.2300	23.5687	22.0121	20.3406	18.1474	17.5655	0.2336	0.1842	0.1641	0.1493	0.1370	0.1209	0.1176	9
-12	0.5	0.1	1	0.3668	0.0638	0.0072	0.0007	0.0002	0.0000	0.0000	31.4884	26.5365	23.5850	21.4472	20.2960	18.4550	18.0441	0.2513	0.1952	0.1660	0.1537	0.1330	0.1137	0.1094	89
-12	0.5	0.1	2	0.3906	0.0391	0.0044	0.0004	0.0001	0.0000	0.0000	33.4999	26.3766	23.5295	22.3025	20.7210	19.1992	17.5829	0.2314	0.2001	0.1651	0.1536	0.1393	0.1184	0.1137	87
-12	0.5	1	0	0.4751	0.1195	0.0229	0.0086	0.0041	0.0010	0.0002	36.5126	25.9024	23.7686	22.8400	22.1769	21.3823	21.0711	1.6025	1.2615	1.2047	1.1785	1.1549	1.1055	1.0694	0
-12	0.5	1	1	0.2419	0.1917	0.0191	0.0068	0.0028	0.0009	0.0006	28.6586	26.8821	23.3892	22.8391	22.0901	21.1825	20.8839	1.4024	1.2953	1.1934	1.1620	1.1396	1.1181	1.0854	0
