P_SWITCH_YEAR,P_PFPR,P_TACT,FREQ_580Y_2032,PFPR_2032,TFR_10Y,Run
2022,0.001,baseline,0.010101,0.000087,0.080421178,run9
2022,0.001,baseline,0.296296,0.00006,0.08140233,run90
2022,0.001,baseline,0.310127,0.0000615,0.080750298,run91
2022,0.001,baseline,0.393393,0.0001415,0.086090847,run92
2022,0.001,baseline,0.651741,0.0002635,0.159372991,run93
2022,0.001,baseline,0.571782,0.000338,0.156657404,run94
2022,0.001,baseline,0.82617,0.000447,0.164184985,run95
2022,0.001,baseline,0.0305344,0.0000585,0.095682645,run96
2022,0.001,baseline,0.391791,0.000106,0.113070784,run97
2022,0.001,baseline,0.970926,0.001202,0.320608965,run98
2022,0.001,baseline,0.216667,0.0000555,0.085248498,run99
2023,0.001,baseline,0.0780488,0.000089,0.082281196,run1
2023,0.001,baseline,0.603715,0.0001375,0.089741107,run10
2023,0.001,baseline,0.0181818,0.000071,0.094002689,run100
2023,0.001,baseline,0,0.000093,0.10229238,run11
2023,0.001,baseline,0,0.000015,0.075991336,run12
2023,0.001,baseline,0.0833333,0.0001015,0.142676923,run13
2023,0.001,baseline,0.539548,0.000147,0.081292031,run14
2023,0.001,baseline,0.123188,0.0000595,0.087360466,run15
2023,0.001,baseline,0.927835,0.000045,0.073213225,run16
2023,0.001,baseline,0.93336,0.0022205,0.294898433,run17
2023,0.001,baseline,0.352365,0.0002685,0.088936848,run18
2023,0.001,baseline,0.313008,0.0001055,0.116484685,run19
2023,0.001,baseline,0.0113636,0.000081,0.083451071,run2
2023,0.001,baseline,0.159722,0.0000605,0.075113747,run20
2023,0.001,baseline,0.907104,0.0000815,0.082386957,run21
2023,0.001,baseline,0.0204082,0.00004,0.076605374,run22
2023,0.001,baseline,0.262411,0.000062,0.109448225,run23
2023,0.001,baseline,0.351598,0.000096,0.096659866,run24
2023,0.001,baseline,0.401587,0.000275,0.159509829,run25
2023,0.001,baseline,0.10219,0.000115,0.091745481,run26
2023,0.001,baseline,0.0603015,0.0000855,0.100885562,run27
2023,0.001,baseline,0.233333,0.000025,0.086817448,run28
2023,0.001,baseline,0.101695,0.0000545,0.075082197,run29
2023,0.001,baseline,0.0454545,0.0000455,0.069148253,run3
2023,0.001,baseline,0.462366,0.0000405,0.072019358,run30
2023,0.001,baseline,0.049505,0.000089,0.068384727,run31
2023,0.001,baseline,0.0186625,0.0002675,0.089552488,run32
2023,0.001,baseline,0.0199601,0.000217,0.081110654,run33
2023,0.001,baseline,0.263345,0.000359,0.124405296,run34
2023,0.001,baseline,0.213983,0.0002095,0.076534283,run35
2023,0.001,baseline,0.14527,0.0002475,0.107502495,run36
2023,0.001,baseline,0.461126,0.000161,0.098069668,run37
2023,0.001,baseline,0.0804795,0.0002485,0.104943864,run38
2023,0.001,baseline,0.125786,0.000069,0.081729074,run39
2023,0.001,baseline,0.284404,0.0000895,0.068497705,run4
2023,0.001,baseline,0.292887,0.000195,0.06907797,run40
2023,0.001,baseline,0.343949,0.0001925,0.09376117,run41
2023,0.001,baseline,0.205251,0.000186,0.094207604,run42
2023,0.001,baseline,0.314126,0.000236,0.142530449,run43
2023,0.001,baseline,0.149378,0.000105,0.094823572,run44
2023,0.001,baseline,0.175947,0.0001955,0.085991713,run45
2023,0.001,baseline,0.978261,0.00002,0.087879383,run46
2023,0.001,baseline,0.0409836,0.0002075,0.082352095,run47
2023,0.001,baseline,0.657371,0.0000995,0.077831353,run48
2023,0.001,baseline,0.865854,0.000713,0.24212168,run49
2023,0.001,baseline,0.130252,0.0002085,0.093488365,run5
2023,0.001,baseline,0.954545,0.0000275,0.100449454,run50
2023,0.001,baseline,0.135135,0.0000495,0.079041998,run51
2023,0.001,baseline,0.0130293,0.0001235,0.07264259,run52
