MONTH	P_TC	P_PFPR	P_TACT	FREQ_580Y_99	FREQ_580Y_95	FREQ_580Y_75	FREQ_580Y_50	FREQ_580Y_25	FREQ_580Y_05	FREQ_580Y_01	TF_99	TF_95	TF_75	TF_50	TF_25	TF_05	TF_01	PFPR_99	PFPR_95	PFPR_75	PFPR_50	PFPR_25	PFPR_05	PFPR_01	ELIMINATION
-12	0.75	0.1	1	0.081369289	0.060037387	0.016908137	0.005151918	0.000862725	0	0	25.36117446	24.07870593	22.88286084	21.71353512	20.71252397	19.00277983	18.16035497	0.1407693	0.1300547	0.114393	0.1072115	0.099221575	0.08717575	0.082195917	100
-12	0.75	0.1	2	0.096412487	0.058690494	0.013483394	0.002625222	0.000384229	0	0	25.85962484	24.1472507	22.62240829	21.6802982	20.34728418	18.53585676	17.28470559	0.13381768	0.1299939	0.117543	0.1096105	0.099889775	0.08994807	0.078312128	100
-12	0.75	1	0	0.064005774	0.039287395	0.019398801	0.012835353	0.006693262	0.002441217	0.001167374	22.33465257	21.96037212	21.52012064	21.22137058	20.83102429	20.51229907	20.2590885	1.354713	1.348176	1.3118575	1.29141	1.2719325	1.2494315	1.2354737	0
-12	0.75	1	1	0.052635862	0.0355556	0.021894211	0.011892947	0.006087325	0.002390645	0.000994112	22.12829581	21.83949656	21.48860021	21.23319822	20.73471639	20.36250998	20.28151626	1.3469385	1.3384935	1.3058375	1.28791	1.2647875	1.2376845	1.2255042	0
-12	0.75	1	2	0.055850066	0.040497162	0.021711809	0.013563427	0.008331178	0.002986847	0.001546151	22.15932144	21.94799128	21.4799821	21.10549959	20.77972189	20.24502009	20.04357093	1.3782095	1.351531	1.320335	1.29653	1.278035	1.2473025	1.221293	0
-12	0.75	10	0	0.026146804	0.017663613	0.013439672	0.010565172	0.007694082	0.005073327	0.003588147	20.42478253	20.17659741	20.03812877	19.92383368	19.7989833	19.56014357	19.44931034	10.446054	10.431995	10.39285	10.3605	10.330925	10.295835	10.277558	0
-12	0.75	10	1	0.020234132	0.017882139	0.013079975	0.010514729	0.008094923	0.006136363	0.003965944	20.17223034	20.15145542	19.99390068	19.87466746	19.75197698	19.59852311	19.48385126	10.446278	10.42856	10.38365	10.3593	10.33185	10.29618	10.268406	0
-12	0.75	10	2	0.018632454	0.016947656	0.013164788	0.009581636	0.007822545	0.005551753	0.004286324	20.2337675	20.10173039	20.0163804	19.90939789	19.77420485	19.58575374	19.41281001	10.450983	10.42336	10.392875	10.35535	10.32605	10.296525	10.247898	0
-11	0.25	0.1	0	0.038194231	0.011239015	0.000202176	0	0	0	0	27.15877776	25.54390032	22.14541731	20.46609037	18.58763471	15.02568436	13.31	0.16632359	0.1581644	0.136026	0.1223475	0.1102365	0.087340935	0.080904461	0
-11	0.25	0.1	1	0.036314852	0.013562009	0.00063438	0	0	0	0	28.03945209	25.7556235	22.5328344	19.89304813	17.75324088	15.37454692	14.70405175	0.16886432	0.16336865	0.138986	0.123943	0.1093885	0.09000465	0.084040091	1
-11	0.25	0.1	2	0.047748407	0.01320486	0.000340341	0	0	0	0	26.63983253	24.1154151	21.94234747	19.96168582	18.08079616	15.90562811	15.20276498	0.17475235	0.16963635	0.138782	0.125903	0.11222575	0.093272885	0.077199993	1
-11	0.25	1	0	0.012248486	0.008100532	0.001398057	0.000426123	0.000142351	5.45E-05	1.91E-05	22.02160609	21.47337992	20.69129956	19.91425145	18.92793146	18.09964689	17.68211909	1.2407864	1.2276335	1.193615	1.169915	1.14616	1.1125315	1.1053929	0
-11	0.25	1	1	0.013223342	0.007594482	0.00326312	0.000956285	0.000224018	3.79E-05	0	22.61385019	21.75762312	20.70559715	20.12401071	19.32092753	18.26424488	17.87391802	1.2684444	1.230232	1.2017875	1.18465	1.1555525	1.112955	1.1001609	0
-11	0.25	1	2	0.020381948	0.009455316	0.002145849	0.000763757	0.000173132	4.04E-05	1.87E-05	22.01866973	21.56431037	20.59539256	19.841243	19.0201927	17.88100179	17.48960019	1.2517986	1.2174405	1.1887525	1.174045	1.1515	1.1246045	1.1184472	0
-11	0.25	10	0	0.004772556	0.003980532	0.002466328	0.001502281	0.000917184	0.000422775	0.000281259	19.39685826	19.13467308	18.83075296	18.65253647	18.43011208	18.0225462	17.86864063	10.714621	10.69852	10.639675	10.60875	10.585025	10.541345	10.499789	0
-11	0.25	10	1	0.005112665	0.004025323	0.002481921	0.001501548	0.000906983	0.000437723	0.000261534	19.27651051	19.20544732	18.8112547	18.57578529	18.39066883	18.04630798	17.89092622	10.739237	10.70289	10.6448	10.6146	10.580675	10.515715	10.49839	0
-11	0.25	10	2	0.00621178	0.003799856	0.002283878	0.001479158	0.00103723	0.000496227	0.000362316	19.43340597	19.15924762	18.84837394	18.56391095	18.34277142	18.08656002	17.97678382	10.718873	10.661385	10.63105	10.605	10.565275	10.530375	10.510475	0
-11	0.5	0.1	0	0.054839593	0.040824483	0.005149847	0.000481894	0.00016086	0	0	25.17439177	24.75161036	22.89866799	21.48660183	20.43655423	18.5408766	18.13184255	0.19608485	0.18695555	0.16339	0.1497425	0.13378325	0.1215805	0.11275694	65
-11	0.5	0.1	1	0.051088594	0.030237762	0.003376925	0.000424784	0.000151897	0	0	24.29765466	23.56226415	22.59764958	20.96980447	19.99338624	18.53339707	18.16353931	0.18416941	0.17631005	0.159005	0.1475665	0.13527925	0.1179587	0.10757262	94
-11	0.5	0.1	2	0.065042425	0.036423036	0.004491145	0.000266728	0	0	0	26.07398492	24.54842707	22.39000311	21.06419567	19.7968236	18.13663563	17.86051462	0.18790133	0.1842473	0.163481	0.150652	0.1382515	0.12390155	0.10786643	95
-11	0.5	1	0	0.020198986	0.01809571	0.009271347	0.004986836	0.001927673	0.000395742	0.000195653	22.25574824	21.7822385	21.28794325	20.7669654	20.32216525	19.77205856	19.26733911	1.4009635	1.3871835	1.3657025	1.34735	1.3284375	1.2956485	1.2771435	0
-11	0.5	1	1	0.018369377	0.015060938	0.006839168	0.003117449	0.001249177	0.00054119	0.000301506	22.1743793	21.96106656	21.25960699	20.7309869	20.30546883	19.68722826	19.40977762	1.4313805	1.407457	1.3737875	1.349595	1.32619	1.2856425	1.2806491	0
-11	0.5	1	2	0.0257109	0.019026199	0.006775423	0.003204067	0.001588535	0.000464133	0.000216864	21.96501973	21.80112735	21.28798333	20.93023647	20.43421449	19.96440898	19.68646235	1.4037806	1.3880575	1.366325	1.342685	1.31701	1.294006	1.2734921	0
-11	0.5	10	0	0.010522262	0.008674658	0.005710997	0.003900898	0.00305879	0.002128863	0.001391521	20.10098256	19.95441637	19.72295106	19.57766727	19.40753188	19.15376436	18.85844636	10.791526	10.77874	10.735175	10.70295	10.6729	10.63322	10.603683	0
-11	0.5	10	1	0.010575531	0.007710333	0.005682411	0.004124584	0.00299095	0.001625841	0.001265953	19.91260369	19.84153435	19.70227701	19.53465559	19.40055576	19.23441495	19.10587822	10.799399	10.76686	10.73655	10.70955	10.675375	10.639675	10.627556	0
-11	0.5	10	2	0.012146155	0.009503803	0.005942877	0.004498754	0.003352159	0.002107635	0.001166379	20.16160095	19.99652336	19.7153768	19.54885375	19.32976107	19.13957359	18.98352303	10.806831	10.772715	10.74155	10.70505	10.672675	10.62517	10.602078	0
-11	0.75	0.1	0	0.10020616	0.069720481	0.022363135	0.006707965	0.000753357	0.000235192	0	25.86767307	24.10017554	22.71022417	21.71968115	20.15128522	18.87741416	17.88110073	0.13581979	0.12718475	0.1138475	0.104691	0.093258425	0.08490218	0.078650469	99
-11	0.75	0.1	1	0.083562332	0.061583888	0.017216234	0.005664663	0.001163615	0	0	27.4371428	24.9142625	23.14225762	21.77600097	20.44481391	18.85311928	17.35373795	0.13295904	0.1296177	0.111879	0.104332	0.095693375	0.08477608	0.081469886	100
-11	0.75	0.1	2	0.10344572	0.063103354	0.015357371	0.00241914	0.000440948	0	0	25.7840559	24.78754579	22.69704109	21.73903628	20.25589419	19.09969129	17.80547945	0.13154755	0.12522225	0.11446925	0.105764	0.096151725	0.085415815	0.079016768	100
-11	0.75	1	0	0.06557853	0.039367048	0.020050974	0.013111302	0.006718828	0.00246611	0.001433641	22.12182481	21.75495573	21.32674315	20.9654213	20.74558032	20.34624815	19.94627823	1.3676732	1.341198	1.304515	1.287535	1.2611	1.236149	1.2250336	0
-11	0.75	1	1	0.054457403	0.036019574	0.023219787	0.011914256	0.006313871	0.002524638	0.001171179	22.01549266	21.79860651	21.34527391	20.97522393	20.65205419	20.30162714	20.11149715	1.3371137	1.330471	1.29883	1.28143	1.2542	1.231518	1.2221195	0
-11	0.75	1	2	0.05766225	0.040953473	0.022375802	0.014044759	0.008553941	0.003170862	0.001505006	22.22877002	21.8737686	21.38999447	21.04020286	20.76653714	20.23259939	20.14184897	1.367984	1.352674	1.30647	1.29066	1.272065	1.242629	1.2236315	0
-11	0.75	10	0	0.026512246	0.01784763	0.013637805	0.010733551	0.007791349	0.005346244	0.003704871	20.2084157	20.13239507	19.93563277	19.82533578	19.7141058	19.51936367	19.45331463	10.443444	10.429005	10.3737	10.3498	10.3273	10.29036	10.257413	0
-11	0.75	10	1	0.020630468	0.018112483	0.013134094	0.010666767	0.008324498	0.006198579	0.003993345	20.24761347	20.14884403	19.95113712	19.82200129	19.70107961	19.50915977	19.46771021	10.458309	10.42257	10.3754	10.35125	10.3252	10.28883	10.26016	0
-11	0.75	10	2	0.018937481	0.017236354	0.013231784	0.00977909	0.007907367	0.005766905	0.004388015	20.18011925	20.11388356	19.9298248	19.82306925	19.70048623	19.57004189	19.48331051	10.444679	10.407725	10.378175	10.33855	10.313475	10.27578	10.240705	0
-10	0.25	0.1	0	0.03898943	0.012152905	0.000179437	0	0	0	0	30.32263353	26.75491746	22.69021739	19.77955426	17.35015261	13.11119031	11.639599	0.16731005	0.15737895	0.13566925	0.1220615	0.107813	0.086886995	0.080487185	0
-10	0.25	0.1	1	0.037360582	0.012661665	0.000477684	0.000150304	0	0	0	29.42875817	27.27555054	22.71357651	20.53678409	17.91050085	15.40259009	11.85229665	0.16943381	0.1632593	0.13785275	0.123179	0.1082305	0.087893755	0.080745064	1
